dataset,ranking_method,N,Hit rate,Precision,Enrichment,Tanimoto_topk_to_train,Tanimoto_hits_to_train_actives,Tanimoto_topk_scaffold_to_train,Tanimoto_hits_scaffold_to_train_actives,pharmacophore_topk_to_train,pharmacophore_hits_to_train_actives,MCSF,MCSF_hits_to_train_actives,internal_tanimoto_topk,internal_tanimoto_hits,unique_scaffolds_subset,unique_scaffolds_subset_ratio,unique_scaffolds_hits_ratio,new_scaffolds_ratio,new_hit_scaffolds_ratio
CHEMBL235_EC50,utopia_dist_E_min_unc_min_tanimoto,50,0.9629629629629629,0.6190476190476191,1.646090534979424,0.1589738,0.1752,0.409032,0.4255,0.4108758827999999,0.4483851,0.24393718655963847,0.26377984732808557,0.1765,0.1976,36,0.72,0.7307692307692307,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_ood_min_tanimoto,50,1.0,0.5652173913043478,1.6500602906644666,0.1741574,0.1799,0.418,0.426,0.4488886993999999,0.4522134,0.2599631676501133,0.2705092299744206,0.2047,0.2064,34,0.68,0.7307692307692307,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_unc,50,1.0,0.58,1.8641126181140322,0.17693839999999997,0.1833,0.425308,0.4417,0.4453275232,0.45051757,0.2567773775933954,0.26731805083238297,0.2085,0.2092,33,0.66,0.7241379310344828,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_max_ood,50,1.0,0.56,1.7696877765137151,0.18023240000000001,0.1837,0.42779399999999995,0.4436,0.4557923530000001,0.45201665,0.26227271484132497,0.26905690373569807,0.2296,0.2126,31,0.62,0.75,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_unc_min_ood,50,0.8928571428571429,0.5555555555555556,1.591545709192768,0.19074100000000002,0.1953,0.44490199999999996,0.4636,0.4671432652,0.46511504,0.27236357733733035,0.2818203984706609,0.2472,0.2362,33,0.66,0.76,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_unc_min_mcsf,50,1.0,0.56,1.759235988941945,0.17599440000000002,0.1809,0.423216,0.4365,0.4466608084,0.44970804,0.2553847440985539,0.26627644170232073,0.206,0.2052,34,0.68,0.75,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_ood_min_mcsf,50,0.9259259259259259,0.5319148936170213,1.6008196196452582,0.191577,0.1984,0.4476199999999999,0.4644,0.47221003419999996,0.47550103,0.26839049749387434,0.2800987039119304,0.2524,0.2435,31,0.62,0.72,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_ood_min_cats,50,0.9285714285714286,0.6046511627906976,1.6450490351154698,0.17666339999999997,0.1914,0.443726,0.4634,0.4077430746,0.44373894,0.2527619487199193,0.2733307321307722,0.1945,0.2303,37,0.74,0.7692307692307693,1.0,1.0
CHEMBL235_EC50,utopia_dist_min_ood_min_mcsf,50,0.14285714285714285,1.0,0.1270728762945549,0.204738,0.2014,0.452864,0.3945,0.5023841401999999,0.49592155,0.2807954146256257,0.28317455456265656,0.2712,0.2404,40,0.8,1.0,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_unc_min_cats,50,1.0,0.5128205128205128,1.2642225031605563,0.15677680000000002,0.1848,0.421362,0.4517,0.3691033116,0.4272461,0.23121015981381338,0.2658628752388076,0.1692,0.2207,41,0.82,0.85,1.0,1.0
