"split","dataset","method","accuracy","TPR","TNR","balanced_accuracy","uncertainty"
"Test","CHEMBL235_EC50","ECFP_RF",0.85633270321361,0.725490196078431,0.909574468085106,0.817532332081769,0.368519452330624
"Test","CHEMBL235_EC50","ECFP_MLP",0.837429111531191,0.777777777777778,0.861702127659574,0.819739952718676,0.234937362049137
"Test","CHEMBL235_EC50","SMILES_MLP",0.809073724007561,0.758169934640523,0.829787234042553,0.793978584341538,0.205697467784756
"Test","CHEMBL235_EC50","SMILES_JMM",0.809073724007561,0.686274509803922,0.859042553191489,0.772658531497705,0.0906478161963008
"Test","CHEMBL236_Ki","CATS_RF",0.856363636363636,0.886120996441281,0.825278810408922,0.855699903425102,0.425923254994327
"Test","CHEMBL236_Ki","ECFP_RF",0.856363636363636,0.879003558718861,0.83271375464684,0.855858656682851,0.330332053173855
"Test","CHEMBL236_Ki","ECFP_MLP",0.850909090909091,0.875444839857651,0.825278810408922,0.850361825133287,0.17367636916831
"Test","CHEMBL236_Ki","SMILES_MLP",0.845454545454545,0.832740213523132,0.858736059479554,0.845738136501343,0.268505868895797
"Test","CHEMBL236_Ki","SMILES_JMM",0.849090909090909,0.843416370106762,0.855018587360595,0.849217478733678,0.161317615561286
"Test","CHEMBL237_EC50","CATS_RF",0.797979797979798,0.879310344827586,0.682926829268293,0.78111858704794,0.482454989282121
"Test","CHEMBL237_EC50","ECFP_RF",0.787878787878788,0.801724137931034,0.768292682926829,0.785008410428932,0.40171137117596
"Test","CHEMBL237_EC50","ECFP_MLP",0.762626262626263,0.767241379310345,0.75609756097561,0.761669470142977,0.176908688389659
"Test","CHEMBL237_EC50","SMILES_MLP",0.782828282828283,0.775862068965517,0.792682926829268,0.784272497897393,0.18971319196372
"Test","CHEMBL237_EC50","SMILES_JMM",0.772727272727273,0.818965517241379,0.707317073170732,0.763141295206055,0.115242786073356
"Test","CHEMBL237_Ki","CATS_RF",0.833619210977702,0.86094674556213,0.795918367346939,0.828432556454535,0.458904579831046
"Test","CHEMBL237_Ki","ECFP_RF",0.835334476843911,0.846153846153846,0.820408163265306,0.833281004709576,0.401145439303808
"Test","CHEMBL237_Ki","ECFP_MLP",0.831903945111492,0.846153846153846,0.812244897959184,0.829199372056515,0.349983711330341
"Test","CHEMBL237_Ki","SMILES_MLP",0.794168096054888,0.801775147928994,0.783673469387755,0.792724308658375,0.372238798831302
"Test","CHEMBL237_Ki","SMILES_JMM",0.794168096054888,0.849112426035503,0.718367346938775,0.783739886487139,0.225634783766169
