Well,Luminescence (398 nm),Luminescence (413 nm),Luminescence (428 nm),Luminescence (443 nm),Luminescence (458 nm),Luminescence (473 nm),Luminescence (488 nm),Luminescence (503 nm),Luminescence (518 nm),Luminescence (533 nm),Luminescence (548 nm),Luminescence (563 nm),Luminescence (578 nm),Luminescence (593 nm),Luminescence (608 nm),Luminescence (623 nm),Luminescence (638 nm),Luminescence (653 nm),Type,Compound,Protein
D7,126,164,83,36,47,117,499,3022,13774,42027,77501,93103,93467,72802,61806,37499,29124,17124,Screen,A13,PIM1
D8,144,153,83,46,54,123,491,3297,14117,43562,81090,97263,97008,75686,64788,38334,30228,17805,Screen,A13,PIM1
D9,140,150,97,58,58,129,555,3261,14720,45009,83309,100099,99268,78431,66512,39980,30830,18474,Screen,A13,PIM1
D10,152,138,75,32,54,106,471,2958,13377,41179,75894,91561,90647,71262,59918,35705,28004,16754,Screen,A14,PIM1
D11,147,147,70,43,56,122,505,3115,14028,42926,79352,95913,94710,74024,62861,38049,29575,17589,Screen,A14,PIM1
D12,129,120,75,43,57,126,454,2848,12819,39061,72915,87212,86953,68092,58320,34468,27135,15846,Screen,A14,PIM1
E1,130,126,76,28,43,95,405,2641,11988,36222,67332,80806,80597,62525,53542,31754,25508,14771,Screen,A15,PIM1
E2,124,121,65,36,40,109,474,2930,12711,38186,71837,85912,85204,66594,56702,34563,26586,15461,Screen,A15,PIM1
E3,127,122,67,34,37,109,419,2622,11618,35566,65355,78450,78073,61472,52308,31303,24631,14266,Screen,A15,PIM1
E4,129,109,77,22,39,108,410,2605,11639,35810,66484,80652,79657,62162,53467,31974,25089,14618,Screen,A16,PIM1
E5,129,130,86,31,49,106,483,2923,13091,39814,73942,89264,88491,69435,59069,35785,27300,16593,Screen,A16,PIM1
E6,132,125,84,37,45,110,494,2901,12670,38946,72387,88220,86911,68229,58062,34819,27319,16072,Screen,A16,PIM1
E7,126,128,69,38,65,115,417,2544,11669,35332,65541,78831,78565,61532,52263,31060,24736,14703,Screen,A17,PIM1
E8,133,121,81,40,43,96,407,2592,11305,34498,63672,77335,76472,60120,51366,30570,23874,14154,Screen,A17,PIM1
E9,121,131,80,40,44,95,425,2594,12177,37072,68574,83719,83060,64916,55687,33306,26038,15432,Screen,A17,PIM1
E10,137,121,83,40,48,115,448,2987,12945,40023,73716,89313,88932,69875,59500,35420,27617,16515,Screen,A18,PIM1
E11,134,129,89,51,47,115,499,3021,13886,41905,77799,94961,94067,72986,62214,37042,29275,17467,Screen,A18,PIM1
E12,150,123,63,38,57,115,466,3055,13469,41619,76774,92716,92045,72254,62350,36399,28689,17298,Screen,A18,PIM1
F1,93,90,59,33,40,73,343,2081,9552,28726,52909,64609,63726,50011,42267,25560,19777,11709,Screen,A19,PIM1
F2,120,146,81,49,51,113,514,3195,14004,43109,79579,96642,95671,74897,63864,38242,29803,17834,Screen,A19,PIM1
F3,115,122,65,30,40,82,378,2495,10876,33528,62217,75290,74857,58772,49601,29763,23440,13504,Screen,A19,PIM1
F4,68,60,42,28,30,51,244,1359,6273,19321,35819,43361,42837,32981,29031,17085,13628,8207,Screen,A20,PIM1
F5,55,62,39,27,22,57,217,1437,6261,19380,35504,43565,43145,33290,28502,17011,13178,7817,Screen,A20,PIM1
F6,64,71,45,20,22,53,211,1410,6234,19212,35223,43009,42691,33455,28346,17054,13167,7724,Screen,A20,PIM1
F7,148,135,98,46,51,135,569,3388,15116,45915,85287,103824,102290,79859,67952,40396,31267,18508,Screen,A21,PIM1
F8,136,143,89,39,39,131,536,3196,14269,43408,80045,97122,96174,75258,64397,38265,29340,17654,Screen,A21,PIM1
F9,139,140,72,48,39,119,465,3117,13690,41657,77443,93256,92360,73085,62073,36749,28696,17228,Screen,A21,PIM1
F10,133,124,75,49,52,126,466,3044,13357,40820,75803,91738,90477,71245,60244,35993,28534,16712,Screen,A22,PIM1
F11,137,115,77,50,40,96,444,2826,12381,37517,69624,84455,84213,65722,56023,33203,26175,15510,Screen,A22,PIM1
F12,112,121,82,34,46,100,439,2651,12313,37307,68923,83494,82674,64414,54832,32935,25715,14982,Screen,A22,PIM1
G1,61,69,41,17,35,57,246,1497,6472,19776,36601,44019,43643,33916,29472,17354,13664,8187,Screen,A23,PIM1
G2,68,57,39,21,29,60,269,1476,6532,19992,36764,44178,43907,34141,29696,17506,13658,8155,Screen,A23,PIM1
G3,84,104,54,34,34,85,325,2090,9001,28266,52373,63142,62447,49127,42267,24678,19403,11376,Screen,A23,PIM1
G4,147,121,74,30,49,106,473,3004,13463,41143,76636,91727,92038,71860,60934,36857,28594,17134,Screen,A24,PIM1
