Well,Luminescence (398 nm),Luminescence (413 nm),Luminescence (428 nm),Luminescence (443 nm),Luminescence (458 nm),Luminescence (473 nm),Luminescence (488 nm),Luminescence (503 nm),Luminescence (518 nm),Luminescence (533 nm),Luminescence (548 nm),Luminescence (563 nm),Luminescence (578 nm),Luminescence (593 nm),Luminescence (608 nm),Luminescence (623 nm),Luminescence (638 nm),Luminescence (653 nm),Type,Compound,Concentration (µM),Protein,Keep,Replicate,Date
D6,135,134,79,32,54,127,467,2852,12825,39252,73196,88503,88002,69414,59356,35881,28532,16732,Screen,A28,0.3704,PIM1,OK,3,4/7/25
D7,104,97,67,18,35,100,389,2345,10648,32571,60873,73453,72701,57373,49977,30200,23220,14286,Screen,A5,0.3704,PIM1,OK,1,4/7/25
D8,160,137,97,46,67,134,525,3598,16101,49505,92094,111068,110454,86744,74383,44997,34842,20237,Screen,A5,0.3704,PIM1,OK,2,4/7/25
D9,126,124,86,37,59,111,440,2887,12827,38659,72783,87451,87177,68504,58976,35145,27499,16500,Screen,A5,0.3704,PIM1,OK,3,4/7/25
D10,95,94,59,29,40,66,321,1992,8797,27119,49894,60601,60428,47628,40678,24842,19487,11622,Screen,A20,0.3704,PIM1,OK,1,4/7/25
D11,77,61,51,31,27,71,320,1944,8885,27376,51110,61490,60908,48137,41136,24980,19504,11661,Screen,A20,0.3704,PIM1,OK,2,4/7/25
D12,96,94,61,33,31,73,325,2067,9309,28231,52673,64014,63432,50416,43347,26048,20174,11653,Screen,A20,0.3704,PIM1,OK,3,4/7/25
E1,155,155,95,38,50,107,550,3455,15685,47897,89075,107244,106780,84018,71959,43160,34042,20165,Negative control,-,-,PIM1,OK,2,4/7/25
E2,87,80,55,22,24,70,290,1870,8277,25104,47348,57302,56943,44997,37863,23004,18111,10781,Positive control,AZD1208,0.1235,PIM1,OK,1,4/7/25
E3,88,72,48,26,45,67,325,1978,8678,26592,49557,60153,59710,46747,40306,24137,18905,11114,Positive control,AZD1208,0.1235,PIM1,OK,2,4/7/25
E4,169,174,120,49,60,152,622,3865,17776,54334,101287,122614,122570,96029,81996,49481,38457,22799,Screen,A28,0.1235,PIM1,OK,1,4/7/25
E5,147,164,100,51,62,121,520,3364,14877,45476,84784,103134,102658,81120,69880,42154,32437,19355,Screen,A28,0.1235,PIM1,OK,2,4/7/25
E6,197,187,115,62,67,176,612,4006,18129,54975,102539,124860,124437,97611,83921,50115,39083,23101,Screen,A28,0.1235,PIM1,OK,3,4/7/25
